vd_salePhone,vd_serviceCode,vd_dealerName,vd_longitude,vd_address,vd_latitude,vc_name,vd_url,vd_dealerCode,vd_dealerType,vd_city,vd_province,vd_postCode,vd_fax,vp_name,vd_id
0593-2653999,,宁德盈众汽车有限公司,119.568969,宁德市东乔经济开发区塔南工业区,26.646043,宁德,,S735025,1,235,3,352100,,F 福建,551
0769-81879888,,东莞庞大一众汽车销售服务有限公司,113.764592,东莞市长安镇沙头南区振安中路683号,22.786129,东莞,,S744069,1,27,5,523861,,G 广东,109
0769-22909788/0769-22405171,,东莞市捷达通贸易有限公司,113.738101,广东省东莞市南城区莞太路新基路段,23.006941,东莞,,S744011,1,27,5,523076,,G 广东,134
0769-89271000                ,,东莞市昌发汽车贸易有限公司,113.676828,东莞市虎门白沙社区莞太路虎门段74号,22.867519,东莞,,S744035,1,27,5,523912,,G 广东,143
0769-83266988,,东莞市新大地汽车贸易有限公司,113.865241,东莞市寮步镇莞樟路塘唇段55号,23.023029,东莞,,S744012,1,27,5,523407,,G 广东,264
0769-81915888,,东莞市鸿众汽车销售服务有限公司,113.972061,东莞市常平镇环常西路桥梓路段桥南路1号,22.974472,东莞,,S744057,1,27,5,523560		,,G 广东,645
0769-85992323,,东莞市锦众汽车贸易有限公司,113.691062,东莞市厚街镇三屯村S256省道旁			,22.959262,东莞,,S744060,1,27,5,523960,,G 广东,646
0769-39019008,,东莞市东深奇建汽车销售服务有限公司,114.084202,东莞市樟木头镇东深公路樟罗村委会路段（土名：果园门）,22.912123,东莞,,S744066,1,27,5,523618,,G 广东,794
0751-8288811,,韶关市亿华汽车贸易有限公司,113.592766,广东省韶关市浈江区韶南大道4公里亿华汽车世界,24.768089,韶关,,S744045,1,28,5,512023,,G 广东,145
0758-2737333,,肇庆市安迅汽车有限公司,112.501777,肇庆市端州区105区肇庆大道北侧,23.106163,肇庆,,S744061,1,29,5,526060,,G 广东,680
0663-3258999,,揭阳合和汽车销售服务有限公司,116.443425,揭阳市揭东试验区站前大道与池樟线交界处,23.574329,揭阳,,S744059,1,30,5,515500,,G 广东,655
0668- 2821188,,茂名市茂南茂汉汽车贸易有限公司,110.923844,茂名市茂南开发区茂南大道西,21.637999,茂名,,S744043,1,31,5,525000,,G 广东,265
17722290597,,茂名市茂南茂汉汽车贸易有限公司信宜市分公司,121.643145,广东省茂名市信宜市东镇街道六运社区居委会坡尾村,30.917933,茂名,,7584416A1,4,31,5,525000,,G 广东,1143
"0752-3916628,3916638",,惠州市志通恒泰汽车销售服务有限公司,114.466462,惠州市惠阳区淡水桥背村永兴路改,22.825086,惠州,,S744062,1,32,5,516211,,G 广东,679
0752-5766366,,惠州市金瑞欣汽车销售有限公司  ,114.461357,惠州市三栋镇惠南汽车城旁,22.982053,惠州,,S744078,1,32,5,,,G 广东,1047
0752-5838888,7584464,惠州市辉达惠众汽车有限公司,114.3948139099,惠州市惠博沿江路金山汽车城2街8号,23.1313731320,惠州,,S744079,3,32,5,516003,,G 广东,2028
0750-2637011,,江门市钜荣汽车销售服务有限公司,113.083284,江门市江海区银帆路2号5幢,22.55654,江门,,S744070,1,33,5,529000,,G 广东,57
0750-3688888,,江门市新众汽车销售服务有限公司,113.068716,江门市江门市建设三路169号,22.643852,江门,,S744040,1,33,5,529000,,G 广东,139
0754-88108562,,汕头市裕丰交通经济发展有限公司,116.692377,广东省汕头市金湖路42号,23.380894,汕头,,S744024,1,34,5,515021,,G 广东,140
0754-86712888,,汕头市庞大一众汽车销售服务有限公司,116.74431,广东省汕头市龙湖区泰山路东侧-大众4S店南侧,23.409207,汕头,,S744072,1,34,5,,,G 广东,899
0756-8682009/8682010,,珠海市珠光汽车有限公司,113.482988,珠海市南屏珠海大道屏东一路2号,22.219775,珠海,,S944017,1,35,5,519060,,G 广东,129
0756-8508552,,珠海市香洲一汽汽车销售有限公司,113.523614,珠海市香洲区蓝盾路9号,22.284808,珠海,,S944011,1,35,5,519000,,G 广东,263
