category,name,brand,id,address,district,city,province,brand-info
4S店,冀东华明,北汽威旺,100045841,北京市朝阳区小红门乡牌坊村南四环东路40号,朝阳区,北京市,北京,北汽威旺
4S店,北京中农通威旺,北汽威旺,100048025,北京市朝阳区王四营乡五方桥东南角,西城区,北京市,北京,北汽威旺
4S店,伟利达,北汽制造,100044462,北京市朝阳区广渠东路18号,朝阳区,北京市,北京,北汽制造
4S店,北京祥华盛宝沃,宝沃,100049376,北京市朝阳区王四营乡道口村西（庞大汽车园内）,朝阳区,北京市,北京,宝沃汽车
4S店,博瑞九龙宝沃,宝沃,100106614,东坝乡汽修二厂院内,朝阳区,北京市,北京,宝沃汽车
4S店,中冀安信,长安,100021091,北京市朝阳区小红门乡牌坊村南,朝阳区,北京市,北京,"长安乘用车,长安汽车,长安轻型车"
4S店,世辉汽车,长安,100030677,北京市朝阳区来广营西路16号,朝阳区,北京市,北京,"长安乘用车,长安汽车,长安轻型车"
4S店,庆长风集团肖村店,长安,100030469,北京市朝阳区南四环东路91号,朝阳区,北京市,北京,"长安乘用车,长安新能源"
4S店,燕长风姚家园店,长安,100059169,北京市朝阳区姚家园路东方基业国际汽车城东区E20号,朝阳区,北京市,北京,"长安乘用车,长安新能源"
4S店,北京广联,长安,100048534,北京市海淀区西北旺附家窑17号,海淀区,北京市,北京,"长安乘用车,长安汽车,长安轻型车"
4S店,新兴快马四季青店,长安,100029514,北京市海淀区四季青乡常润路15号,海淀区,北京市,北京,"长安乘用车,长安新能源"
4S店,庆长风集团北航店,长安,100041239,北京市海淀区五道口新村4号长安汽车北京燕长风4s店（北航西门斜对面）,海淀区,北京市,北京,"长安乘用车,长安新能源"
4S店,庆长风集团丰台店,长安,100125707,北京丰台区南四环中路260号（新发地汽车交易市场院内）,丰台区,北京市,北京,长安新能源
4S店,北京燕宏智翔,长安,100061129,北京市丰台区长辛店南关东里100号,丰台区,北京市,北京,"长安乘用车,长安铃木,长安汽车,长安轻型车"
4S店,北京宿兴创业,长安,100047597,北京市丰台区丰管路16号,丰台区,北京市,北京,"长安乘用车,长安汽车,长安轻型车"
4S店,庆长风集团平谷店,长安,100116900,北京市平谷区东高村镇南埝头76号（音乐环岛往南200米路东）,平谷区,北京市,北京,"长安乘用车,长安新能源"
4S店,平谷燕兴宏达,长安,100030633,北京市平谷区大兴庄镇三福庄村临街2号,平谷区,北京市,北京,"长安乘用车,长安铃木,长安汽车,长安轻型车"
4S店,新兴快马回龙观店,长安,100015265,北京市昌平区回龙观镇欧德宝汽车城A区21号,昌平区,北京市,北京,"长安乘用车,长安新能源"
4S店,新兴快马大兴店,长安,100042234,北京市大兴区经济开发区金苑路10号4幢,大兴区,北京市,北京,"长安乘用车,长安新能源"
4S店,北京北方伟业,北京,100101013,北京市大兴区京良路1号（北方创业出租公司东侧）,丰台区,北京市,北京,"北京汽车,北汽绅宝"
4S店,北京联发志成,北京,100043010,北京市大兴区黄村镇盛豫街5号,丰台区,北京市,北京,"北京汽车,北汽绅宝"
4S店,北京北汽鹏元,北京,100042570,北京市朝阳区朝阳北路57号,朝阳区,北京市,北京,"北京汽车,北汽绅宝,北汽新能源"
4S店,北京奥祥瑞,北京,100066658,北京市通州区台湖镇通马路口子村临7号,朝阳区,北京市,北京,"北京汽车,北汽绅宝"
