category,name,brand,id,address,district,city,province,brand-info
4S店,波士顺达,奔驰,100130500,北京市通州区通顺路与徐尹路交汇口北500米,通州,北京市,北京,"北京奔驰,进口奔驰"
4S店,波士诚达,奔驰,100050840,北京市通州区九棵树西路90号(通州家乐福南600...,通州,北京市,北京,"北京奔驰,进口smart,进口奔驰,进口梅赛德斯-AMG"
4S店,利星行之星,奔驰,100055356,北京市通州区中关村科技园区通州园金桥科技...,通州,北京市,北京,"北京奔驰,进口smart,进口奔驰,进口梅赛德斯-AMG"
4S店,利星行北京,奔驰,100043811,北京市丰台区南四环西路123号（花乡桥西北角...,丰台区,北京市,北京,"北京奔驰,进口smart,进口奔驰,进口梅赛德斯-AMG"
4S店,鹏龙大道奔驰,奔驰,100058817,北京市丰台区南三环西路85号甲-1,丰台区,北京市,北京,"北京奔驰,进口奔驰"
4S店,运通兴驰奔驰,奔驰,100107638,北京市大兴区金时大街7号院4号楼1层至3层,大兴区,北京市,北京,"北京奔驰,进口奔驰"
4S店,北京之星汽车,奔驰,100029755,北京市亦庄经济技术开发区文化园东路甲6号...,大兴区,北京市,北京,"北京奔驰,进口奔驰,进口梅赛德斯-AMG"
4S店,北京天竺之星,奔驰,100047096,顺义区天竺镇府右街3号,顺义区,北京市,北京,"北京奔驰,进口smart,进口奔驰"
4S店,北京鹏龙星徽,奔驰,100029754,鹏龙星徽分钟寺店：东三环分钟寺桥辅路西北...,东城区,北京市,北京,"北京奔驰,进口奔驰,进口梅赛德斯-AMG"
4S店,北京亚奥之星,奔驰,100019493,北京市昌平区北七家镇北京北辰亚运村汽车交...,昌平区,北京市,北京,"北京奔驰,进口smart,进口奔驰,进口梅赛德斯-AMG"
4S店,广本国贸,本田,100003667,北京市朝阳区西大望路20号,朝阳区,北京市,北京,广汽本田
4S店,广汽本田来广营,本田,100042198,北京市朝阳区来广营西路甲８号,朝阳区,北京市,北京,广汽本田
4S店,广汽本田欢乐谷店,本田,100118840,北京市朝阳区王四营乡王四营３６８号,朝阳区,北京市,北京,广汽本田
4S店,北京东航世纪,本田,100003662,北京市朝阳区王四营乡339号,朝阳区,北京市,北京,东风本田
4S店,鸿粤北京鸿粤田,本田,100015735,北京朝阳区南四环东路87号 （肖村桥西一公里...,朝阳区,北京市,北京,东风本田
